frame,time,vehicle_a,vehicle_b,center_a_x,center_a_y,center_b_x,center_b_y,edge_distance,longitudinal_gap,lateral_gap,closest_a_x,closest_a_y,closest_b_x,closest_b_y
15,0.6,0,1,20.86819535563182,8.456385756256159,-18.74232731891209,10.501857795538506,33.75905854656994,33.73053665042873,1.3874189074755634,18.22677412850855,8.449741384087835,-15.503762521920185,9.837160291563398
16,0.64,0,1,20.991634378970275,8.373262790594506,-14.314577122342586,9.517659951101871,28.782191986557677,28.78192975517667,0.12286219573483059,17.725527661880676,8.781668671021345,-11.056402093295993,8.904530866756176
18,0.72,0,1,21.141232314687215,8.336227809592787,-10.416706118772716,8.74040940248592,25.6605068024649,25.65990686467974,0.17546810339518615,17.85131696931636,8.704625608651522,-7.808589895363378,8.529157505256336
22,0.88,0,1,21.223805797592682,8.331677539902573,-3.9308759225758703,7.542767874951714,18.73338950716283,18.649259527557874,1.7734152082550425,17.936037339454977,8.703077863672835,-0.7132221881028977,6.9296626554177925
22,0.88,0,2,21.223805797592682,8.331677539902573,-2.9865948770819912,7.244600722683387,18.426835730618812,18.350031375521535,1.680661643694366,17.936037339454977,8.703077863672835,-0.4139940360665584,7.022416219978469
22,0.88,1,2,-3.9308759225758703,7.542767874951714,-2.9865948770819912,7.244600722683387,0.1948399459000407,0.16091984153334193,0.10985175974564498,-0.7132221881028977,6.9296626554177925,-0.5523023465695558,6.8198108956721475
23,0.92,0,2,21.278360687586392,8.282009552848834,-1.9700022603169645,7.1208198206021445,16.90830332363361,16.767945310166727,2.174104725917564,18.00911723534581,8.683270914866092,1.2411719251790818,6.509166188948528
24,0.96,0,2,21.34340099785301,8.250314883809581,-0.34923136624923834,6.8255622806377545,15.338362319201305,15.157969404720884,2.345489748568524,18.059560908888134,8.627138343356956,2.901591504167251,6.2816485947884315
26,1.04,0,2,21.289343682036748,8.300016681249344,2.4358701771577294,6.409707108542782,13.265922921424483,13.02679146440983,2.5074718542696814,18.649416344103294,8.292736599697283,5.622624879693463,5.785264745427602
27,1.08,0,2,21.2404913824755,8.359022583963654,3.9242476235977577,6.080781647939231,11.31066907010827,10.832779516112517,3.2530174867032198,17.958393203142066,8.739715601087502,7.12561368702955,5.486698114384282
28,1.12,0,2,21.34471950418905,8.39080790802158,5.977137559435709,5.642930580781554,10.098636139016843,9.53261493854816,3.3334223107229395,18.075951604701118,8.792848960815968,8.543336666152957,5.459426650093029
29,1.16,0,2,21.279358950870026,8.422720403234544,6.673715437028207,5.5956924690492915,9.403270892509275,8.766293472032345,3.40199974134556,18.003089815507504,8.812966304799545,9.23679634347516,5.410966563453985
30,1.2,0,2,21.322524987692425,8.354418969636106,8.738312761858388,5.133495111125701,7.814797442615679,6.794534750424461,3.8607456008376095,18.042540053101273,8.738069173533166,11.248005302676813,4.877323572695556
31,1.24,0,1,21.404079243955927,8.349842179793498,12.15292077563483,4.185950372051703,6.044883684062075,4.120075329737226,4.423301711519413,18.766566740238307,8.346019487178571,14.646491410501081,3.922717775659159
31,1.24,0,2,21.404079243955927,8.349842179793498,8.96563820677767,5.240295852256551,7.5768630356206375,6.614578761268408,3.6954297817075723,18.766566740238307,8.346019487178571,12.151987978969899,4.650589705470999
31,1.24,1,2,12.15292077563483,4.185950372051703,8.96563820677767,5.240295852256551,0.6972357686341951,0.3766416965281749,0.5867527158005279,10.839300375557654,6.321737663748123,10.462658679029479,5.734984947947595
32,1.28,0,1,21.21362367077969,8.45481461690939,12.449647684312389,4.249963813546506,5.726057663027435,3.6169919170692886,4.43904334650729,18.56995490777966,8.442420759387534,14.952962990710372,4.003377412880244
33,1.32,0,1,21.279195818832164,8.422453055533266,11.559660069390722,4.714005825042221,5.725303142432408,3.862132079813902,4.226468013698761,17.980744027925102,8.776345080532527,14.1186119481112,4.5498770668337665
33,1.32,0,2,21.279195818832164,8.422453055533266,11.574533737805954,4.73750455823329,5.6424450499930945,3.2284097583056734,4.627586474034632,17.980744027925102,8.776345080532527,14.752334269619428,4.148758606497895
33,1.32,1,2,11.559660069390722,4.714005825042221,11.574533737805954,4.73750455823329,0.0,0.0,0.0,14.1186119481112,4.5498770668337665,14.1186119481112,4.5498770668337665
34,1.36,0,2,21.16974962249122,8.523507086951902,12.447104437369557,4.652813279334847,5.235283670706487,2.8637742123229053,4.382578279232479,17.867339021297575,8.87196357116986,15.00356480897467,4.489385291937382
35,1.4,0,2,21.16421124190848,8.514438410661098,13.242384425935041,4.517047065539705,4.966177628578003,2.6394475506327915,4.206689537634932,17.867339021297575,8.871963571169863,15.227891470664783,4.6652740335349305
36,1.44,0,2,21.120160397240014,8.583622496811682,14.047231435046244,4.463345981951736,4.58940821732723,2.432051141826694,3.89201683305843,18.455792321616627,8.538381366858022,16.023741179789933,4.646364533799592
36,1.44,0,3,21.120160397240014,8.583622496811682,21.13126876974777,8.601803671399841,0.0,0.0,0.0,18.455792321616627,8.538381366858022,18.455792321616627,8.538381366858022
