frame,time,vehicle_a,vehicle_b,pos_a_x,pos_a_y,pos_b_x,pos_b_y,distance_longitudinal,distance_lateral,distance_total
15,0.6,0,1,20.86819535563182,8.456385756256159,-18.74232731891209,10.501857795538506,39.61052267454391,2.0454720392823464,39.66330120418676
16,0.64,0,1,20.991634378970275,8.373262790594506,-14.314577122342586,9.517659951101871,35.30621150131286,1.1443971605073653,35.324753579273754
18,0.72,0,1,21.141232314687215,8.336227809592787,-10.416706118772716,8.74040940248592,31.55793843345993,0.40418159289313316,31.560526626310928
22,0.88,0,1,21.223805797592682,8.331677539902573,-3.9308759225758703,7.542767874951714,25.154681720168554,0.7889096649508591,25.16704970596345
22,0.88,0,2,21.223805797592682,8.331677539902573,-2.9865948770819912,7.244600722683387,24.210400674674673,1.0870768172191863,24.234793930108488
22,0.88,1,2,-3.9308759225758703,7.542767874951714,-2.9865948770819912,7.244600722683387,0.944281045493879,0.29816715226832713,0.9902375187654814
23,0.92,0,2,21.278360687586392,8.282009552848834,-1.9700022603169645,7.1208198206021445,23.248362947903356,1.1611897322466893,23.277343949680358
24,0.96,0,2,21.34340099785301,8.250314883809581,-0.34923136624923834,6.8255622806377545,21.69263236410225,1.424752603171827,21.73937024994839
26,1.04,0,2,21.289343682036748,8.300016681249344,2.4358701771577294,6.409707108542782,18.85347350487902,1.8903095727065624,18.94800077791431
27,1.08,0,2,21.2404913824755,8.359022583963654,3.9242476235977577,6.080781647939231,17.316243758877743,2.2782409360244227,17.465471069497376
28,1.12,0,2,21.34471950418905,8.39080790802158,5.977137559435709,5.642930580781554,15.367581944753342,2.747877327240026,15.6113229623331
29,1.16,0,2,21.279358950870026,8.422720403234544,6.673715437028207,5.5956924690492915,14.60564351384182,2.827027934185253,14.87672374530405
30,1.2,0,2,21.322524987692425,8.354418969636106,8.738312761858388,5.133495111125701,12.584212225834037,3.220923858510405,12.989870971151037
31,1.24,0,1,21.404079243955927,8.349842179793498,12.15292077563483,4.185950372051703,9.251158468321098,4.163891807741795,10.145044504218223
31,1.24,0,2,21.404079243955927,8.349842179793498,8.96563820677767,5.240295852256551,12.438441037178256,3.109546327536947,12.821236047997033
31,1.24,1,2,12.15292077563483,4.185950372051703,8.96563820677767,5.240295852256551,3.1872825688571584,1.054345480204848,3.357143810647539
32,1.28,0,1,21.21362367077969,8.45481461690939,12.449647684312389,4.249963813546506,8.763975986467301,4.204850803362884,9.720496148341246
33,1.32,0,1,21.279195818832164,8.422453055533266,11.559660069390722,4.714005825042221,9.719535749441443,3.7084472304910445,10.402978229622848
33,1.32,0,2,21.279195818832164,8.422453055533266,11.574533737805954,4.73750455823329,9.70466208102621,3.6849484972999758,10.380718257166087
33,1.32,1,2,11.559660069390722,4.714005825042221,11.574533737805954,4.73750455823329,0.014873668415232189,0.023498733191068766,0.02781036629948107
34,1.36,0,2,21.16974962249122,8.523507086951902,12.447104437369557,4.652813279334847,8.722645185121664,3.870693807617055,9.542893145050465
35,1.4,0,2,21.16421124190848,8.514438410661098,13.242384425935041,4.517047065539705,7.9218268159734375,3.997391345121393,8.873245047237639
36,1.44,0,2,21.120160397240014,8.583622496811682,14.047231435046244,4.463345981951736,7.072928962193769,4.120276514859945,8.185536186661558
36,1.44,0,3,21.120160397240014,8.583622496811682,21.13126876974777,8.601803671399841,0.011108372507756314,0.018181174588159266,0.021306127033700998
36,1.44,2,3,14.047231435046244,4.463345981951736,21.13126876974777,8.601803671399841,7.0840373347015255,4.138457689448105,8.204292596366686
37,1.48,0,2,20.93590454309041,8.710733118611298,15.218828560052636,4.180374402518094,5.717075983037773,4.530358716093204,7.294457340495521
38,1.52,0,1,21.003208176936603,8.677168005815494,16.259342423807563,4.010432536499153,4.74386575312904,4.6667354693163405,6.654523440809698
38,1.52,0,2,21.003208176936603,8.677168005815494,16.240631115097084,3.980119988061523,4.762577061839519,4.697048017753971,6.689125529622422
38,1.52,0,3,21.003208176936603,8.677168005815494,21.059064625636644,8.625704475273023,0.05585644870004103,0.05146353054247044,0.07595023263477277
38,1.52,1,2,16.259342423807563,4.010432536499153,16.240631115097084,3.980119988061523,0.018711308710479102,0.030312548437630316,0.035622516284543056
38,1.52,1,3,16.259342423807563,4.010432536499153,21.059064625636644,8.625704475273023,4.799722201829081,4.61527193877387,6.658683674988962
38,1.52,2,3,16.240631115097084,3.980119988061523,21.059064625636644,8.625704475273023,4.81843351053956,4.645584487211501,6.6931873366364645
39,1.56,0,2,21.064550539614554,8.63467937994594,17.52518534941123,3.5785898816505384,3.5393651902033234,5.056089498295401,6.171802570108351
40,1.6,0,2,21.058979197372423,8.625564715420644,18.54815911338244,3.525841749636411,2.5108200839899837,5.099722965784233,5.68431102438234
41,1.64,0,2,21.18082451489095,8.541641379571939,19.69777664290483,3.2825886208832262,1.4830478719861198,5.259052758688712,5.464162050056158
42,1.68,0,2,20.99753267689693,8.667887037874651,20.652022655434443,3.1336350227451506,0.34551002146248777,5.534252015129501,5.545026829682247
42,1.68,0,3,20.99753267689693,8.667887037874651,20.997618622201678,8.668027581547001,8.594530474681505e-05,0.00014054367234983545,0.00016473954973108556
42,1.68,2,3,20.652022655434443,3.1336350227451506,20.997618622201678,8.668027581547001,0.3455959667672346,5.5343925588018505,5.5451724560348055
44,1.76,0,2,20.822521642691544,8.815037267447746,22.50716979031926,2.9025997216047057,1.6846481476277155,5.912437545843041,6.14776033322705
44,1.76,0,3,20.822521642691544,8.815037267447746,20.87937519202132,8.762736858904761,0.0568535493297766,0.05230040854298501,0.07725062333183132
